area_name,area_m2,area_km2,valid_cells,elev_min,elev_p5,elev_mean,elev_p95,elev_max,elev_std,relief_p95_p5_m,relief_max_min_m,slope_mean_deg,slope_p95_deg,slope_std_deg,rough_mean_m,rough_p95_m,rough_std_m,stream_length_m,stream_density_m_per_km2
parcel,80361.23210044966,0.08036123210044967,113887,190.07951239941121,190.84456787109374,196.2625139555318,219.82375793457032,252.7658233642578,9.325514479189728,28.97919006347658,62.6863109648466,7.28884775470071,37.355849456787105,12.064183245625456,3.58631076309747,9.570520210266112,2.6560881560573995,904.6317674215298,11257.066918669952
local_aoi,1165690.3146976982,1.1656903146976982,1651993,188.7411706435546,190.2078036718749,234.37227111710067,390.8969665527343,467.99676513671875,67.35464423378131,200.68916288085939,279.25559449316415,14.061292505805545,40.543540191650386,15.047939257741481,5.113133688829117,11.19108543395996,3.383960764711387,19706.975439186906,16905.841277661788
context_aoi,18680569.91550477,18.68056991550477,2987670,188.27378845214844,190.3086311340332,242.00068359430998,423.80158996582026,494.1436767578125,75.48224439190871,233.49295883178706,305.86988830566406,14.314819603806704,40.76827621459961,15.239156102600884,5.205644964010405,11.802611923217771,3.6022027131746412,31848.432512341642,1704.896191946886
