threshold_cells,segments,total_length_m,hazard_length_m,hazard_share,local_aoi_share,context_share,mean_segment_length_m,max_segment_length_m,segments_touching_hazard,flow_type
1000,1123,58030.57643911989,25789.92590447915,0.4444196057837796,0.6101244447364547,1.0,51.67460056911833,396.37972567696727,528,d8
2500,454,35842.98655569301,16833.666874043032,0.4696502298402729,0.630144375802554,1.0,78.94930959403746,611.6589462905463,233,d8
5000,237,24724.206332605325,12144.055054318833,0.4911807841655052,0.6512528132166934,1.0,104.32154570719547,639.4528855298863,131,d8
