threshold_cells,segments,total_length_m,hazard_length_m,hazard_share,local_aoi_share,context_share,mean_segment_length_m,max_segment_length_m,segments_touching_hazard,flow_type
1000,0,57561.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dinf
2500,0,33013.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dinf
5000,0,21238.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dinf
